ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
163,0,6,1,V1,2,V4,6,V3,250,2,V2,V1,yes,5389,V1,1,V4,F,V4,V3,40,T,0,V2,2,V0,13682,V4,,,250,V1,V2
164,0,6,2,V4,2,V2,6,V1,1448,1,V3,V1,yes,5858,V1,1,V2,F,V3,V5,30,T,0,V2,2,V9,11464,V3,,,1448,V1,V1
165,0,11,1,V4,2,V4,11,V4,2012,4,V3,V1,yes,6492,V3,1,V4,F,V4,V4,60,T,0,V2,1,V6,10564,V4,,,2012,V1,V2
166,0,,1,V2,4,V1,29,V3,3621,4,V3,V1,yes,5467,V3,1,V1,F,V2,V5,56,T,0,V1,2,V2,13588,V2,,,3621,V2,V2
167,0,24,2,V4,2,V4,24,V2,3430,3,V3,V1,yes,5301,V3,1,V4,F,V2,V5,30,T,0,V2,1,V3,22857,V2,,,3430,V2,V3
168,0,12,1,V3,2,V4,12,V0,1934,2,V3,V1,yes,5827,V3,1,V4,F,V4,V5,25,T,0,V2,2,V3,65503,V4,,,1934,V1,V3
169,1,48,2,V3,4,V1,48,V0,4605,3,V3,V1,yes,4131,V3,1,V1,F,V5,V5,23,T,0,V3,2,V1,82025,V5,,,4605,V1,V3
170,0,24,1,V1,1,V1,24,V1,1381,4,V3,V1,yes,5757,V3,1,V1,F,V4,V4,26,T,0,V2,2,V9,61293,V4,,,1381,V2,V3
171,1,17,1,V1,2,V3,17,V0,2100,4,V3,V2,yes,5528,V2,1,V3,F,V2,V3,36,T,0,V2,1,V3,6304,V2,,,2100,V1,V3
172,0,9,2,V1,2,V4,9,V1,3577,1,V3,V3,no,5418,V3,1,V4,F,V2,V3,26,T,0,V1,1,V0,2031,V2,,,3577,V1,V3
173,0,5,1,V4,4,V4,5,V1,361,4,V2,V1,yes,4872,V3,1,V4,F,V4,V3,51,T,0,V2,2,V0,33389,V4,,,361,V1,V2
174,1,12,1,V4,4,V2,12,V1,950,4,V3,V1,yes,3897,V1,1,V2,F,V2,V2,27,T,0,V1,4,V2,6799,V2,,,950,V1,V2
175,0,14,1,V1,2,V2,14,V1,2630,3,V2,V1,yes,4495,V3,1,V2,F,V2,V3,25,T,0,V2,1,V5,22322,V2,,,2630,V1,V2
176,0,9,1,V4,4,V4,9,V0,1313,1,V3,V1,yes,3957,V3,1,V4,F,V2,V5,20,T,0,V2,1,V2,5790,V2,,,1313,V1,V3
177,0,12,1,V4,1,V1,12,V0,338,4,V2,V1,yes,5391,V1,1,V1,F,V1,V5,44,T,0,V2,1,V8,31009,V1,,,338,V1,V4
178,1,11,1,V2,2,V2,11,V1,835,4,V2,V1,yes,5660,V1,1,V2,F,V2,V2,23,T,0,V2,1,V0,23991,V2,,,835,V1,V2
179,1,24,1,V2,2,V1,24,V0,3344,4,V4,V1,yes,3588,V3,1,V1,F,V2,V5,39,T,0,V1,1,V2,36574,V2,,,3344,V2,V3
180,1,36,1,V4,2,V3,36,V0,4209,4,V3,V1,yes,6110,V3,1,V3,F,V2,V3,25,T,0,V2,1,V3,38918,V2,,,4209,V1,V3
181,0,12,1,V2,3,V1,12,V0,2214,4,V2,V1,yes,6448,V3,1,V1,F,V2,V3,24,T,0,V2,1,V3,30679,V2,,,2214,V1,V3
182,1,18,2,V4,2,V4,18,V0,4165,2,V3,V1,yes,5218,V2,1,V4,F,V5,V3,36,T,0,V2,2,V9,56449,V5,,,4165,V1,V3
183,1,23,1,V4,4,V2,23,V2,4113,3,V3,V1,yes,4151,V3,1,V2,F,V2,V2,28,T,0,V1,1,V1,55608,V2,,,4113,V1,V2
184,0,10,1,V1,1,V2,10,V3,1577,4,V3,V1,yes,5931,V3,1,V2,F,V2,V2,20,T,0,V2,1,V2,49716,V2,,,1577,V1,V2
185,1,18,1,V1,3,V1,18,V0,1344,4,V3,V1,yes,3542,V1,1,V1,F,V2,V3,26,T,0,V2,1,V3,13767,V2,,,1344,V1,V4
186,1,33,1,V4,4,V1,33,V2,4280,1,V3,V1,yes,3547,V3,1,V1,F,V4,V3,23,T,0,V2,2,V2,44433,V4,,,4280,V1,V2
187,1,47,1,V3,4,V1,47,V0,6330,4,V3,V1,yes,4704,V3,1,V1,F,V4,V5,45,T,0,V3,2,V1,17509,V4,,,6330,V2,V3
188,0,14,1,V1,4,V4,14,V4,2186,1,V2,V1,yes,4922,V1,1,V4,F,V2,V4,33,T,0,V1,1,V2,50135,V2,,,2186,V1,V2
189,0,7,1,V1,2,V2,7,V0,907,3,V3,V1,yes,4378,V3,1,V2,F,V2,V2,25,T,0,V2,1,V9,87058,V2,,,907,V2,V4
190,0,6,2,V1,2,V4,6,V4,782,1,V2,V3,yes,4235,V2,1,V4,F,V1,V3,25,T,0,V2,1,V0,25204,V1,,,782,V1,V3
191,0,6,1,V3,4,V4,6,V4,699,4,V3,V1,yes,4372,V3,1,V4,F,V4,V5,36,T,0,V3,2,V3,11035,V4,,,699,V1,V3
192,0,18,1,V4,4,V2,18,V1,2622,4,V3,V1,yes,5456,V3,1,V2,F,V2,V3,33,T,0,V2,1,V9,26507,V2,,,2622,V1,V3
193,0,6,1,V1,4,V4,6,V0,671,1,V1,V1,yes,6154,V3,1,V4,F,V2,V1,54,T,0,V2,1,V0,14591,V2,,V3,671,V2,V2
194,1,30,1,V3,3,V2,30,V1,1918,4,V4,V1,yes,4414,V2,1,V2,F,V3,V2,29,T,0,V2,2,V3,39135,V3,,,1918,V1,V3
195,0,11,1,V4,4,V2,11,V0,3616,1,V3,V1,yes,5810,V3,1,V2,F,V4,V5,27,T,0,V1,3,V2,89382,V4,,,3616,V2,V3
196,0,11,1,V3,4,V4,11,V4,2133,4,V4,V1,yes,4968,V3,1,V4,F,V2,V5,52,T,0,V3,1,V0,39998,V2,,,2133,V2,V2
197,0,11,1,V2,1,V3,11,V0,1474,4,V4,V1,yes,6938,V1,1,V3,F,V2,V2,32,T,0,V2,1,V2,69862,V2,,,1474,V2,V2
198,0,17,2,V4,3,V1,17,V1,2248,4,V4,V1,yes,6115,,1,V1,F,V2,V4,29,T,0,V2,1,V0,25622,V2,,,2248,V2,V3
199,0,7,1,V1,2,V2,7,V0,760,4,V2,V3,yes,5430,V3,1,V2,F,V2,V4,44,T,0,V2,1,V3,11883,V2,,,760,V1,V2
200,0,8,1,V1,4,V2,8,V0,1206,4,V3,V1,yes,6211,V3,1,V2,F,V2,V5,25,T,0,V2,1,V3,31965,V2,,,1206,V1,V2
201,0,23,1,V3,4,V3,23,V0,2892,3,V3,V1,yes,4222,V3,1,V3,F,V2,V5,50,T,0,V3,1,V2,38446,V2,,,2892,V1,V1
202,0,17,2,V1,4,V2,17,V0,1113,4,V2,V3,yes,4180,V3,1,V2,F,V2,V3,25,T,0,V2,1,V3,26606,V2,,,1113,V1,V2
203,1,12,1,V4,2,V4,12,V0,2291,4,V4,V1,yes,6112,V2,1,V4,F,V4,V1,41,T,0,V2,2,V9,38983,V4,,,2291,V2,V3
204,1,29,1,V1,4,V1,29,V0,2406,4,V3,V1,yes,4261,V3,1,V1,F,V2,V4,22,T,0,V1,1,V2,27502,V2,,,2406,V1,V2
205,0,12,1,V3,1,V4,12,V1,2141,3,V3,V1,yes,5144,V3,1,V4,F,V2,V4,34,T,0,V2,1,V3,14839,V2,,,2141,V1,V3
206,1,35,1,V4,2,V4,35,V0,3349,4,V4,V1,yes,4055,V3,1,V4,F,V2,V3,27,T,0,V2,1,V2,26895,V2,,,3349,V2,V2
207,0,27,1,V4,2,V4,27,V3,8613,2,V3,V1,yes,2809,V3,1,V4,F,V3,V3,27,T,0,V2,2,V1,19097,V3,,,8613,V1,V3
208,0,18,1,V1,3,V2,18,V2,3213,1,V3,V1,yes,4447,V3,1,V2,F,V2,V2,25,T,0,V1,1,V3,4537,V2,,,3213,V1,V4
209,0,11,1,V2,3,V2,11,V0,1423,4,V3,V1,yes,4014,V3,1,V2,F,V4,V4,25,T,0,V2,1,V4,18432,V4,,,1423,V1,V3
210,0,21,1,V1,2,V4,21,V0,2992,3,V2,V1,yes,4422,V2,1,V4,F,V3,V3,28,T,0,V2,2,V1,43017,V3,,,2992,V1,V3
211,0,23,2,V4,4,V4,23,V4,6313,3,V4,V1,yes,2951,V3,1,V4,F,V2,V5,41,T,0,V2,1,V1,42024,V2,,,6313,V2,V3
212,0,15,1,V1,3,V4,15,V0,1477,4,V3,V1,yes,4640,V1,1,V4,F,V3,V3,32,T,0,V2,2,V3,47760,V3,,,1477,V1,V4
213,0,36,1,V4,2,V3,36,V0,4473,4,V3,V1,yes,4302,V3,1,V3,F,V2,V5,30,T,0,V2,1,V3,56050,V2,,,4473,V1,V3
214,0,20,1,V1,4,V4,20,V4,2476,4,V4,V1,yes,4489,V3,1,V4,F,V2,V5,45,T,0,V2,1,V1,32157,V2,,,2476,V2,V3
215,0,24,1,V4,3,V4,24,V0,937,4,V2,V1,yes,6282,V3,1,V4,F,V2,V2,27,T,0,V2,2,V8,104202,V2,,,937,V1,V4
216,0,18,1,V2,1,V2,18,V0,1295,4,V3,V1,yes,3764,V3,1,V2,F,V4,V2,27,T,0,V2,2,V2,31849,V4,,,1295,V1,V2
217,0,17,1,V2,4,V1,17,V0,1049,4,V3,V1,yes,8618,V3,1,V1,F,V4,V2,21,T,0,V1,1,V2,20770,V4,,,1049,V1,V2
218,0,19,1,V4,4,V1,19,V4,2211,4,V3,V1,yes,5258,V3,1,V1,F,V2,V4,39,T,0,V2,1,V2,14715,V2,,,2211,V2,V3
219,0,48,1,V4,2,V2,48,V4,12204,2,V4,V1,yes,3934,V1,1,V2,F,V5,V3,47,T,0,V2,1,V9,9682,V5,,,12204,V2,V3
220,1,20,2,V2,2,V1,20,V4,1647,4,V2,V1,yes,6923,V3,1,V1,F,V1,V3,39,T,0,V2,2,V0,112721,V1,,,1647,V1,V3
221,0,18,1,V4,1,V4,18,V0,1949,4,V3,V1,yes,3564,V2,1,V4,F,V2,V4,34,T,0,V2,2,V9,61882,V2,,,1949,V2,V3
222,0,10,1,V1,2,V4,10,V1,1417,3,V2,V1,no,4532,V3,1,V4,F,V2,V3,34,T,0,V1,1,V0,39353,V2,,,1417,V1,V3
223,0,15,1,V2,4,V4,15,V4,1519,4,V3,V1,yes,4092,V3,1,V4,F,V4,V5,62,T,0,V2,1,V2,45721,V4,,,1519,V1,V3
224,0,24,1,V1,4,V1,24,V0,2383,4,V2,V1,yes,5357,V1,1,V1,F,V2,V5,63,T,0,V1,1,V3,86676,V2,,,2383,V1,V3
225,0,11,1,V2,1,V1,11,V0,1289,4,V2,V3,yes,5829,V3,1,V1,F,V2,V3,21,T,0,V2,1,V2,25728,V2,,,1289,V1,V3
226,1,17,1,V1,4,V1,17,V0,3965,1,V3,V1,yes,4192,V1,1,V1,F,V4,V5,32,T,0,V1,3,V0,75617,V4,,,3965,V2,V2
227,0,35,1,V2,2,V4,35,V0,8132,1,V3,V1,yes,6182,V1,1,V4,F,V2,V3,30,T,0,V2,1,V1,28525,V2,,,8132,V1,V2
228,1,23,1,V2,1,V1,23,V1,2358,1,V3,V1,yes,4480,V3,1,V1,F,V2,V1,32,T,0,V2,1,V2,14800,V2,,,2358,V1,V1
229,1,23,1,V2,3,V4,23,V3,4591,2,V4,V1,yes,7348,V3,1,V4,F,V2,V3,54,T,0,V2,3,V9,33976,V2,,,4591,V2,V3
230,0,10,1,V2,2,V3,10,V4,1346,4,V3,V1,yes,5607,V3,1,V3,F,V4,V4,27,T,0,V2,2,V3,102944,V4,,,1346,V2,V3
231,0,5,1,V1,2,V3,5,V3,708,2,V1,V1,no,3588,V3,1,V3,F,V2,V2,27,T,0,V2,1,V0,22325,V2,,,708,V1,V4
232,0,24,1,V3,3,V4,24,V2,3061,4,V3,V1,yes,4425,V3,1,V4,F,V2,V5,32,T,0,V1,1,V2,22541,V2,,,3061,V2,V3
233,0,24,1,V4,4,V2,24,V0,1967,4,V3,V1,yes,4866,V3,1,V2,F,V2,V5,19,T,0,V2,1,V3,48804,V2,,,1967,V2,V2
234,0,22,1,V4,4,V4,22,V2,2674,3,V3,V1,yes,4899,V3,1,V4,F,V2,V5,39,T,0,V2,1,V3,88645,V2,,,2674,V1,V3
235,0,23,1,V4,2,V2,23,V0,6402,1,V3,V1,yes,4711,V3,1,V2,F,V3,V2,33,T,0,V2,1,V3,56159,V3,,,6402,V1,V3
236,1,48,1,V3,4,V1,48,V0,6143,4,V2,V1,yes,4721,V2,1,V1,F,V4,V5,58,T,0,V3,2,V1,39319,V4,,,6143,V1,V2
237,0,23,1,V1,4,V4,23,V3,1287,4,V3,V1,yes,6645,V3,1,V4,F,V4,V5,36,T,0,V2,2,V0,128898,V4,,,1287,V2,V2
238,0,23,1,V2,3,V4,23,V1,1310,4,V3,V1,yes,5827,V3,1,V4,F,V2,V4,25,T,0,V2,1,V3,40412,V2,,,1310,V2,V4
239,0,,1,V2,4,V2,8,V0,1198,4,V4,V1,yes,2890,V3,1,V2,F,V2,V4,66,T,0,V2,2,V6,22669,V2,,,1198,V2,V2
240,0,15,1,V4,2,V4,15,V0,1459,4,V2,V1,yes,4912,V3,1,V4,F,V4,V3,43,T,0,V2,1,V3,36179,V4,,,1459,V1,V2
241,0,6,1,V2,3,V2,6,V4,931,1,V2,V1,yes,7028,V3,1,V2,F,V4,V4,38,T,0,V2,2,V8,54974,V4,,,931,V1,V2
242,0,23,1,V4,2,V4,23,V2,3235,3,V4,V1,yes,4021,V3,1,V4,F,V2,V5,26,T,0,V2,1,V3,45370,V2,,,3235,V2,V1
243,1,17,1,V2,2,V4,17,V0,1530,3,V3,V1,yes,4040,V1,1,V4,F,V4,V3,32,T,0,V2,2,V0,66815,V4,,,1530,V1,V3
244,1,5,1,V2,2,V2,5,V4,14555,1,V1,V1,yes,4189,V3,1,V2,F,V2,V1,22,T,0,V2,1,V0,83022,V2,,,14555,V2,V3
245,0,6,2,V3,3,V4,6,V0,6761,1,V4,V1,yes,4786,V3,1,V4,F,V4,V4,44,T,0,V2,2,V0,27781,V4,,,6761,V2,V3
246,0,23,1,V2,3,V4,23,V0,1585,4,V3,V1,yes,3650,V3,1,V4,F,V4,V4,40,T,0,V2,2,V2,23332,V4,,,1585,V1,V3
247,0,20,1,V1,4,V1,20,V0,571,4,V3,V1,yes,4865,V3,1,V1,F,V4,V5,65,T,0,V2,2,V0,60332,V4,,,571,V1,V3
248,0,20,2,V2,4,V2,20,V4,7056,3,V4,V1,yes,5505,V1,1,V2,F,V3,V4,36,T,0,V1,2,V1,26356,V3,,,7056,V2,V3
249,0,27,1,V4,2,V1,27,V0,3416,3,V4,V1,yes,6048,V3,1,V1,F,V2,V3,27,T,0,V2,1,V3,29647,V2,,,3416,V1,V3
250,0,35,1,V4,2,V2,35,V0,6947,2,V4,V1,yes,4149,V3,1,V2,F,V2,V3,35,T,0,V1,1,V1,16599,V2,,,6947,V2,V3
251,0,20,1,V1,4,V4,20,V3,1571,4,V2,V1,yes,3872,V1,1,V4,F,V2,V5,35,T,0,V2,1,V9,11112,V2,,,1571,V1,V2
252,0,24,1,V3,4,V2,24,V2,3757,1,V1,V1,yes,6069,V3,1,V2,F,V2,V1,23,T,0,V1,1,V3,143749,V2,,,3757,V1,V2
253,0,24,1,V2,1,V4,24,V4,2255,4,V3,V1,yes,5664,V3,1,V4,F,V2,V2,53,T,0,V2,1,V0,13951,V2,,,2255,V1,V3
254,1,47,1,V4,2,V2,47,V0,15671,2,V3,V1,yes,3473,V3,1,V2,F,V2,V3,23,T,0,V2,1,V9,24453,V2,,,15671,V2,V3
255,0,6,2,V1,3,V1,6,V2,2646,2,V3,V1,yes,4743,V3,1,V1,F,V2,V3,44,T,0,V1,1,V3,46671,V2,,,2646,V1,V3
256,1,18,1,V1,4,V4,18,V0,1942,4,V3,V1,yes,4055,V3,1,V4,F,V2,V2,23,T,0,V2,1,V5,64303,V2,,,1942,V1,V2
257,1,18,1,V3,3,V2,18,V0,4296,4,V4,V1,yes,4982,V3,1,V2,F,V3,V5,39,T,0,V2,1,V2,31252,V3,,,4296,V2,V1
258,0,11,1,V2,4,V1,11,V0,2170,4,V2,V1,no,5841,V1,1,V1,F,V4,V3,38,T,0,V2,2,V0,77303,V4,,,2170,V1,V3
259,0,12,1,V2,2,V4,12,V3,1413,3,V3,V1,no,5142,V3,1,V4,F,V2,V4,54,T,0,V2,1,V1,13726,V2,,,1413,V1,V3
260,0,12,1,V1,4,V2,12,V1,840,2,V2,V1,yes,3494,V3,1,V2,F,V2,V4,23,T,0,V1,1,V9,30552,V2,,,840,V1,V2
261,1,24,1,V2,1,V1,24,V0,3123,4,V3,V1,yes,3822,V3,1,V1,F,V2,V2,26,T,0,V2,1,V0,7425,V2,,V2,3123,V1,V2
262,1,9,2,V3,4,V3,9,V1,1239,1,V2,V1,yes,4154,V3,1,V3,F,V2,V5,47,T,0,V3,1,V0,39207,V2,,,1239,V1,V2
263,0,6,1,V4,4,V1,6,V2,337,4,V3,V1,yes,5345,V3,1,V1,F,V4,V5,52,T,0,V2,2,V3,10442,V4,,,337,V1,V3
264,0,11,1,V4,4,V2,11,V3,1322,4,V3,V1,yes,6784,V3,1,V2,F,V4,V3,39,T,0,V2,2,V0,36174,V4,,,1322,V1,V2
265,0,5,1,V1,4,V4,5,V2,660,2,V2,V1,yes,5559,V3,1,V4,F,V2,V4,22,T,0,V1,1,V5,1714,V2,,,660,V1,V4
266,0,24,1,V4,4,V4,24,V0,1559,4,V3,V1,yes,5666,V1,1,V4,F,V1,V4,49,T,0,V2,1,V9,64489,V1,,,1559,V2,V3
267,0,11,1,V1,2,V4,11,V0,1574,4,V3,V1,yes,4168,V3,1,V4,F,V2,V3,50,T,0,V2,1,V2,19270,V2,,,1574,V1,V3
268,1,9,1,V2,1,V2,9,V0,917,4,V3,V1,yes,4475,V3,1,V2,F,V2,V3,29,T,0,V2,1,V2,85112,V2,,,917,V1,V2
269,0,18,1,V2,3,V4,18,V4,2662,4,V3,V1,no,5879,V3,1,V4,F,V2,V4,31,T,0,V2,1,V0,26489,V2,,,2662,V1,V3
270,0,5,1,V1,2,V3,5,V0,2116,2,V3,V1,yes,5425,V3,1,V3,F,V2,V3,40,T,0,V2,1,V2,28318,V2,,,2116,V2,V3
271,0,24,1,V2,4,V1,24,V0,4169,4,V3,V1,yes,4170,V3,1,V1,F,V2,V3,27,T,0,V2,1,V2,31466,V2,,,4169,V1,V3
272,0,11,1,V1,1,V3,11,V0,1329,4,V3,V1,yes,7077,V3,1,V3,F,V2,V2,26,T,0,V2,1,V0,57661,V2,,,1329,V1,V3
273,0,23,1,V2,4,V4,23,V4,5433,2,V4,V1,yes,5506,V3,1,V4,F,V2,V1,25,T,0,V1,1,V1,43707,V2,,,5433,V2,V2
274,1,35,1,V1,2,V2,35,V0,4455,2,V4,V1,yes,4321,V2,1,V2,F,V3,V3,29,T,0,V2,2,V9,48259,V3,,,4455,V2,V1
275,0,15,1,V4,4,V2,15,V0,1307,4,V2,V1,yes,7139,V3,1,V2,F,V2,V5,37,T,0,V2,2,V5,19380,V2,,,1307,V1,V3
276,1,24,1,V1,4,V1,24,V0,2438,4,V3,V1,yes,3914,V3,1,V1,F,V2,V2,35,T,0,V2,1,V3,24876,V2,,,2438,V2,V2
277,0,18,1,V3,4,V4,18,V0,1984,4,V3,V1,yes,5913,V1,1,V4,F,V2,V3,47,T,0,V3,2,V2,120528,V2,,,1984,V1,V3
278,0,14,1,V4,2,V3,14,V2,2359,2,V3,V1,yes,3698,V3,1,V3,F,V4,V3,36,T,0,V2,1,V1,39448,V4,,,2359,V2,V3
279,0,11,1,V1,4,V4,11,V0,1655,2,V2,V1,yes,3940,V3,1,V4,F,V4,V5,62,T,0,V2,2,V3,22605,V4,,,1655,V2,V3
280,0,23,1,V2,4,V4,23,V4,2423,4,V3,V1,yes,4053,V3,1,V4,F,V4,V5,52,T,0,V2,2,V3,50401,V4,,,2423,V1,V3
281,0,9,1,V1,4,V2,9,V0,276,4,V2,V1,yes,4814,V3,1,V2,F,V2,V3,22,T,0,V1,1,V0,3878,V2,,,276,V1,V4
282,0,30,1,V4,2,V4,30,V0,5770,4,V3,V1,yes,5884,V3,1,V4,F,V4,V4,25,T,0,V2,2,V3,110971,V4,,,5770,V1,V2
283,0,6,2,V4,4,V3,6,V1,1322,2,V3,V1,yes,7828,V3,1,V3,F,V4,V5,28,T,0,V2,2,V0,10698,V4,,,1322,V2,V1
284,0,21,1,V2,3,V4,21,V4,3159,4,V3,V1,yes,6594,V3,1,V4,F,V2,V5,41,T,0,V2,1,V3,75443,V2,,,3159,V2,V3
285,0,12,1,V1,3,V1,12,V0,385,4,V2,V1,yes,5626,V3,1,V1,F,V4,V4,58,T,0,V2,4,V3,24159,V4,,,385,V2,V2
286,1,23,1,V4,3,V2,23,V0,4057,3,V3,V1,yes,4870,V3,1,V2,F,V2,V4,42,T,0,V2,1,V2,7731,V2,,,4057,V2,V1
287,1,24,1,V4,4,V1,24,V4,2996,2,V3,V1,yes,5658,V3,1,V1,F,V2,V3,19,T,0,V2,1,V2,65904,V2,,,2996,V1,V4
288,0,23,1,V4,4,V1,23,V0,1603,4,V3,V1,yes,6237,V3,1,V1,F,V2,V5,54,T,0,V2,1,V3,33744,V2,,,1603,V1,V2
289,0,24,1,V2,4,V4,24,V0,3181,4,V3,V1,yes,4737,V3,1,V4,F,V2,V2,25,T,0,V2,1,V3,61034,V2,,,3181,V2,V2
290,0,23,1,V4,1,V4,23,V1,5510,4,V3,V1,yes,3163,V2,1,V4,F,V2,V3,24,T,0,V2,1,V2,23489,V2,,,5510,V1,V3
291,0,32,1,V4,2,V4,32,V0,7252,3,V4,V1,yes,5654,V3,1,V4,F,V4,V4,34,T,0,V2,2,V1,14643,V4,,,7252,V2,V3
292,0,36,1,V4,2,V4,36,V3,5711,4,V4,V1,yes,1586,V3,1,V4,F,V4,V5,38,T,0,V2,2,V1,44527,V4,,,5711,V2,V3
293,0,60,1,V1,1,V2,60,V4,7417,1,V2,V1,yes,5645,V3,1,V2,F,V3,V3,27,T,0,V2,1,V3,18777,V3,,,7417,V1,V3
294,1,11,1,V4,1,V2,11,V0,1330,2,V3,V1,yes,4606,V2,1,V2,F,V2,V2,21,T,0,V2,1,V3,17051,V2,,,1330,V1,V3
295,0,6,2,V1,4,V1,6,V0,662,3,V2,V1,yes,6436,V3,1,V1,F,V2,V2,41,T,0,V2,1,V0,1561,V2,,,662,V2,V3
296,0,36,1,V4,4,V2,36,V0,5799,3,V3,V1,yes,3510,V3,1,V2,F,V4,V3,33,T,0,V2,2,V1,53571,V4,,,5799,V2,V3
297,0,28,2,V1,4,V4,28,V4,7823,3,V3,V3,yes,4510,V1,1,V4,F,V1,V2,40,T,0,V1,2,V1,54754,V1,,,7823,V2,V3
298,1,47,1,V3,2,V2,47,V3,10961,1,V3,V2,yes,6076,V1,1,V2,F,V2,V4,27,T,0,V2,2,V3,19076,V2,,,10961,V2,V3
299,1,6,2,V2,2,V2,6,V3,432,4,V3,V1,yes,5288,V1,1,V2,F,V1,V2,24,T,0,V1,1,V6,26053,V1,,,432,V1,V2
300,0,15,1,V1,2,V2,15,V1,1513,4,V3,V3,yes,5032,V3,1,V2,F,V2,V3,21,T,0,V2,1,V5,12740,V2,,,1513,V1,V3
301,0,24,1,V4,4,V4,24,V4,717,4,V3,V1,yes,5143,V3,1,V4,F,V3,V5,54,T,0,V2,2,V0,77494,V3,,,717,V2,V4
302,0,47,2,V4,3,V4,47,V4,2751,4,V3,V1,yes,2933,V3,1,V4,F,V4,V5,38,T,0,V2,2,V1,71609,V4,,,2751,V2,V3
303,0,17,1,V1,1,V2,17,V0,4438,1,V4,V2,yes,5369,V1,1,V2,F,V2,V5,33,T,0,V2,1,V9,30783,V2,,,4438,V2,V3
304,0,12,1,V1,4,V4,12,V4,930,4,V3,V1,yes,5493,V3,1,V4,F,V4,V5,65,T,0,V2,4,V3,1836,V4,,,930,V1,V3
305,1,18,2,V2,1,V4,18,V0,1533,4,V2,V2,yes,5499,V3,1,V4,F,V2,V2,42,T,0,V2,1,V2,74254,V2,,,1533,V1,V4
306,0,14,1,V2,2,V4,14,V0,1360,4,V3,V1,yes,3530,V3,1,V4,F,V4,V3,31,T,0,V2,2,V3,92554,V4,,,1360,V1,V3
307,0,18,1,V1,4,V4,18,V0,1473,3,V3,V1,yes,4009,V3,1,V4,F,V2,V2,39,T,0,V2,1,V3,116238,V2,,V1,1473,V2,V4
308,1,24,1,V2,2,V2,24,V0,2063,3,V4,V1,yes,5623,V3,1,V2,F,V3,V1,34,T,0,V2,1,V2,17953,V3,,,2063,V2,V2
309,0,36,1,V1,2,V3,36,V0,3913,2,V3,V1,yes,4875,V3,1,V3,F,V2,V3,22,T,0,V2,1,V3,85349,V2,,,3913,V2,V3
310,1,17,1,V4,2,V1,17,V0,2461,2,V3,V1,yes,6255,V3,1,V1,F,V2,V3,21,T,0,V2,1,V2,14915,V2,,,2461,V1,V3
311,0,8,2,V1,2,V4,8,V0,2696,1,V3,V1,yes,7003,V3,1,V4,F,V2,V3,31,T,0,V2,1,V3,54758,V2,,,2696,V1,V3
312,0,7,1,V3,4,V4,7,V4,846,3,V3,V1,yes,5249,V3,1,V4,F,V3,V5,35,T,0,V3,1,V3,41129,V3,,,846,V1,V3
313,1,10,1,V2,4,V4,10,V4,1308,4,V2,V3,yes,5020,V3,1,V4,F,V2,V3,26,T,0,V2,1,V0,62524,V2,,,1308,V1,V3
314,0,24,1,V2,4,V4,24,V1,2223,4,V3,V1,yes,5318,V1,1,V4,F,V4,V5,52,T,0,V2,2,V3,77590,V4,,,2223,V1,V3
315,0,8,1,V1,4,V2,8,V0,1153,2,V2,V1,yes,5105,V3,1,V2,F,V4,V5,36,T,0,V2,3,V3,12905,V4,,,1153,V1,V3
316,0,59,1,V1,4,V4,59,V1,10143,2,V3,V1,yes,6315,V3,1,V4,F,V2,V4,21,T,0,V2,1,V3,82294,V2,,,10143,V2,V2
317,1,11,1,V4,3,V2,11,V0,685,2,V2,V1,yes,7301,V1,1,V2,F,V2,V4,25,T,0,V2,1,V0,31122,V2,,,685,V1,V4
318,0,10,1,V2,3,V4,10,V4,894,4,V3,V1,yes,4814,V3,1,V4,F,V2,V4,39,T,0,V2,1,V8,68493,V2,,,894,V2,V2
319,1,36,1,V3,4,V1,36,V4,1976,4,V4,V1,yes,6030,V3,1,V1,F,V2,V5,39,T,0,V2,1,V6,87533,V2,,,1976,V2,V3
320,0,23,1,V1,4,V1,23,V0,1755,4,V2,V3,yes,4366,V3,1,V1,F,V2,V5,58,T,0,V2,1,V10,51361,V2,,,1755,V2,V2
321,1,14,1,V4,4,V2,14,V1,2631,2,V3,V1,yes,5335,V3,1,V2,F,V2,V3,28,T,0,V1,2,V0,47000,V2,,,2631,V2,V2
322,0,9,2,V1,2,V4,9,V0,1545,3,V2,V1,no,4717,V3,1,V4,F,V2,V3,30,T,0,V2,1,V0,97165,V2,,,1545,V1,V3
323,0,14,1,V2,4,V3,14,V0,2686,2,V3,V1,yes,7576,V3,1,V3,F,V2,V4,26,T,0,V1,1,V9,53248,V2,,,2686,V2,V3
324,1,12,1,V1,3,V1,12,V0,1107,4,V3,V1,yes,4238,V3,1,V1,F,V5,V4,27,T,0,V2,2,V5,36066,V5,,,1107,V1,V3
325,0,11,1,V4,4,V4,11,V0,1392,4,V4,V1,yes,3857,V3,1,V4,F,V4,V2,34,T,0,V2,2,V0,55880,V4,,,1392,V1,V2
326,0,48,1,V4,1,V2,48,V2,8358,1,V3,V1,yes,3959,V3,1,V2,F,V5,V2,29,T,0,V2,2,V0,11302,V5,,,8358,V1,V2
